Desocupe
13.8965
13.1393
10.9483
11.2743
11.5536
11.036
11.704
10.4157
9.9279
9.3596
9.4935
10.0677
12.7911
12.075
10.5024
11.087
10.995
10.2437
11.1558
9.9893
10.1444
9.1692
9.4619
9.9404
12.3415
12.0105
10.3838
10.4518
9.8204
9.5105
10.1626
9.6613
9.1692
8.13
8.6268
8.6473
11.5324
11.0878
9.8445
9.3084
9.0674
9.4019
9.6865
9.16
8.6057
8.0953
8.0622
9.0375
11.1517
10.2276
9.1228
9.7373
9.2216
8.4987
9.2237
9.3036
9.0682
8.4385
7.5631
8.8227
12.1784
10.3678
10.4646
9.3195
9.2374
9.19
10.2006
9.2326
8.8534
8.628
7.7732
9.0971
11.9569
10.873
9.9046
9.1359
9.838
8.9773
9.9404
9.5168
9.5469
8.7399
8.7648
8.9122
12.1374
11.1882
9.7716
9.7292
9.9795
9.3085
10.0423
9.4292
9.6707
9.3615
8.9905
9.9891
13.0752
12.0926
11.1814
10.6566
10.9519
9.7229
11.2807
11.1973
10.8003
10.1236
9.6186
9.9497
13.4585
12.8131
13.1828
20.4853
21.972
20.3591
20.9147
17.4427
16.2928
15.2814
13.9128
13.9142
17.5633
15.5852
14.7255
15.488
15.2042
14.6466
13.0585
12.8614
11.9613
11.9952
11.5331
11.0965
14.6473
12.9052
12.1212
11.1685
10.6483
11.2612
10.9889
10.6313
10.7484
9.721
9.5008
10.2727
13.7044
11.3531
10.0325
10.7247
10.4751
9.342309621
9.572850564
9.277371999
9.25267418
9.230912384
9.007386157
10.0137174
